TIME	LOAD	DISPLACEMENT	STRAIN GAGE	•ËL	E.STRESS	E.STRAIN	T.STRESS	T.STRAIN
11.292	-546.376	0.242	0.008	0.242	-272.896	0.807	-275.098	0.804
11.305	-556.898	0.226	0.008	0.226	-278.152	0.754	-280.250	0.751
11.318	-579.563	0.253	0.008	0.253	-289.472	0.842	-291.909	0.838
11.331	-577.135	0.258	0.008	0.258	-288.259	0.859	-290.737	0.856
11.344	-552.042	0.258	0.008	0.258	-275.726	0.859	-278.096	0.856
11.357	-543.947	0.237	0.008	0.237	-271.683	0.789	-273.828	0.786
11.370	-562.565	0.242	0.008	0.242	-280.982	0.807	-283.249	0.804
11.383	-584.420	0.258	0.008	0.258	-291.898	0.859	-294.406	0.856
11.396	-562.565	0.268	0.008	0.268	-280.982	0.894	-283.495	0.890
11.409	-543.947	0.253	0.008	0.253	-271.683	0.842	-273.971	0.838
11.422	-548.804	0.237	0.008	0.237	-274.109	0.789	-276.272	0.786
11.435	-577.944	0.247	0.008	0.247	-288.664	0.824	-291.043	0.821
11.448	-583.610	0.263	0.008	0.263	-291.494	0.877	-294.050	0.873
11.461	-550.423	0.247	0.008	0.247	-274.918	0.824	-277.184	0.821
11.474	-543.947	0.232	0.008	0.232	-271.683	0.772	-273.780	0.769
11.487	-567.421	0.242	0.008	0.242	-283.408	0.807	-285.694	0.804
11.500	-590.895	0.253	0.008	0.253	-295.132	0.842	-297.617	0.838
11.513	-573.897	0.279	0.008	0.279	-286.642	0.930	-289.307	0.925
11.526	-546.376	0.253	0.008	0.253	-272.896	0.842	-275.194	0.838
11.538	-552.042	0.237	0.008	0.237	-275.726	0.789	-277.902	0.786
11.551	-582.801	0.258	0.008	0.258	-291.089	0.859	-293.591	0.856
11.564	-584.420	0.274	0.008	0.274	-291.898	0.912	-294.560	0.908
11.577	-549.613	0.268	0.008	0.268	-274.513	0.894	-276.969	0.890
11.590	-544.757	0.232	0.008	0.232	-272.088	0.772	-274.187	0.769
11.603	-562.565	0.242	0.008	0.242	-280.982	0.807	-283.249	0.804
11.616	-587.657	0.258	0.008	0.258	-293.515	0.859	-296.038	0.856
11.629	-567.421	0.274	0.008	0.274	-283.408	0.912	-285.993	0.908
11.642	-546.376	0.242	0.008	0.242	-272.896	0.807	-275.098	0.804
11.655	-550.423	0.232	0.008	0.232	-274.918	0.772	-277.039	0.769
11.668	-583.610	0.258	0.008	0.258	-291.494	0.859	-293.999	0.856
11.681	-586.848	0.263	0.008	0.263	-293.111	0.877	-295.681	0.873
11.694	-558.517	0.279	0.008	0.279	-278.961	0.930	-281.554	0.925
11.707	-545.566	0.237	0.008	0.237	-272.492	0.789	-274.643	0.786
11.720	-567.421	0.232	0.008	0.232	-283.408	0.772	-285.595	0.769
11.733	-591.705	0.263	0.008	0.263	-295.537	0.877	-298.128	0.873
11.746	-576.325	0.284	0.008	0.284	-287.855	0.947	-290.581	0.943
11.759	-552.851	0.242	0.008	0.242	-276.131	0.807	-278.358	0.804
11.772	-550.423	0.232	0.008	0.232	-274.918	0.772	-277.039	0.769
11.785	-580.372	0.247	0.008	0.247	-289.876	0.824	-292.266	0.821
11.798	-587.657	0.268	0.008	0.268	-293.515	0.894	-296.140	0.890
11.811	-553.661	0.279	0.008	0.279	-276.535	0.930	-279.105	0.925
11.824	-544.757	0.242	0.008	0.242	-272.088	0.807	-274.283	0.804
11.837	-557.708	0.242	0.008	0.242	-278.556	0.807	-280.804	0.804
11.850	-581.991	0.268	0.008	0.268	-290.685	0.894	-293.285	0.890
11.863	-567.421	0.279	0.008	0.279	-283.408	0.930	-286.042	0.925
11.876	-538.281	0.253	0.008	0.253	-268.853	0.842	-271.117	0.838
11.889	-545.566	0.232	0.008	0.232	-272.492	0.772	-274.595	0.769
11.902	-575.516	0.268	0.008	0.268	-287.451	0.894	-290.022	0.890
11.914	-580.372	0.268	0.008	0.268	-289.876	0.894	-292.469	0.890
11.927	-549.613	0.263	0.008	0.263	-274.513	0.877	-276.921	0.873
11.940	-540.710	0.237	0.008	0.237	-270.066	0.789	-272.198	0.786
11.953	-554.470	0.232	0.008	0.232	-276.939	0.772	-279.076	0.769
11.966	-578.753	0.268	0.008	0.268	-289.068	0.894	-291.653	0.890
11.979	-560.136	0.268	0.008	0.268	-279.769	0.894	-282.272	0.890
11.992	-529.377	0.253	0.008	0.253	-264.406	0.842	-266.632	0.838
12.005	-535.043	0.237	0.008	0.237	-267.236	0.789	-269.345	0.786
12.018	-560.946	0.258	0.008	0.258	-280.174	0.859	-282.581	0.856
12.031	-571.468	0.268	0.008	0.268	-285.429	0.894	-287.982	0.890
12.044	-534.234	0.284	0.008	0.284	-266.832	0.947	-269.359	0.943
12.057	-534.234	0.258	0.008	0.258	-266.832	0.859	-269.125	0.856
12.070	-551.232	0.247	0.008	0.247	-275.322	0.824	-277.592	0.821
12.083	-575.516	0.274	0.008	0.274	-287.451	0.912	-290.072	0.908
12.096	-564.993	0.279	0.008	0.279	-282.195	0.930	-284.818	0.925
12.109	-535.853	0.263	0.008	0.263	-267.641	0.877	-269.987	0.873
12.122	-539.091	0.247	0.008	0.247	-269.258	0.824	-271.477	0.821
12.135	-569.850	0.268	0.008	0.268	-284.621	0.894	-287.167	0.890
12.148	-581.991	0.279	0.008	0.279	-290.685	0.930	-293.387	0.925
12.161	-546.376	0.284	0.008	0.284	-272.896	0.947	-275.481	0.943
12.174	-539.900	0.258	0.008	0.258	-269.662	0.859	-271.979	0.856
12.187	-565.802	0.247	0.008	0.247	-282.599	0.824	-284.929	0.821
12.200	-587.657	0.258	0.008	0.258	-293.515	0.859	-296.038	0.856
12.213	-576.325	0.268	0.008	0.268	-287.855	0.894	-290.430	0.890
12.226	-550.423	0.237	0.008	0.237	-274.918	0.789	-277.087	0.786
12.239	-545.566	0.242	0.008	0.242	-272.492	0.807	-274.690	0.804
12.252	-571.468	0.258	0.008	0.258	-285.429	0.859	-287.882	0.856
12.265	-577.135	0.274	0.008	0.274	-288.259	0.912	-290.888	0.908
12.278	-543.947	0.274	0.008	0.274	-271.683	0.912	-274.161	0.908
12.290	-529.377	0.247	0.008	0.247	-264.406	0.824	-266.586	0.821
12.303	-550.423	0.242	0.008	0.242	-274.918	0.807	-277.136	0.804
12.316	-570.659	0.268	0.008	0.268	-285.025	0.894	-287.574	0.890
12.329	-554.470	0.279	0.008	0.279	-276.939	0.930	-279.513	0.925
12.342	-522.092	0.268	0.008	0.268	-260.768	0.894	-263.100	0.890
12.355	-528.568	0.247	0.008	0.247	-264.002	0.824	-266.178	0.821
12.368	-557.708	0.258	0.008	0.258	-278.556	0.859	-280.950	0.856
12.381	-561.755	0.279	0.008	0.279	-280.578	0.930	-283.186	0.925
12.394	-535.043	0.268	0.008	0.268	-267.236	0.894	-269.627	0.890
12.407	-518.855	0.263	0.008	0.263	-259.150	0.877	-261.423	0.873
12.420	-540.710	0.247	0.008	0.247	-270.066	0.824	-272.292	0.821
12.433	-561.755	0.268	0.008	0.268	-280.578	0.894	-283.087	0.890
12.446	-551.232	0.284	0.008	0.284	-275.322	0.947	-277.930	0.943
12.459	-520.473	0.268	0.008	0.268	-259.959	0.894	-262.284	0.890
12.472	-526.140	0.253	0.008	0.253	-262.789	0.842	-265.001	0.838
12.485	-552.851	0.268	0.008	0.268	-276.131	0.894	-278.600	0.890
12.498	-565.802	0.284	0.008	0.284	-282.599	0.947	-285.276	0.943
12.511	-525.330	0.268	0.008	0.268	-262.385	0.894	-264.732	0.890
12.524	-522.092	0.268	0.008	0.268	-260.768	0.894	-263.100	0.890
12.537	-542.328	0.263	0.008	0.263	-270.875	0.877	-273.250	0.873
12.550	-562.565	0.284	0.008	0.284	-280.982	0.947	-283.643	0.943
12.563	-552.851	0.295	0.008	0.295	-276.131	0.982	-278.843	0.977
12.576	-520.473	0.268	0.008	0.268	-259.959	0.894	-262.284	0.890
12.589	-535.043	0.258	0.008	0.258	-267.236	0.859	-269.533	0.856
12.602	-562.565	0.268	0.008	0.268	-280.982	0.894	-283.495	0.890
12.615	-569.850	0.284	0.008	0.284	-284.621	0.947	-287.316	0.943
12.628	-539.091	0.279	0.008	0.279	-269.258	0.930	-271.761	0.925
12.641	-532.615	0.258	0.008	0.258	-266.023	0.859	-268.309	0.856
12.654	-551.232	0.253	0.008	0.253	-275.322	0.842	-277.640	0.838
12.666	-572.278	0.279	0.008	0.279	-285.834	0.930	-288.491	0.925
12.679	-560.946	0.295	0.008	0.295	-280.174	0.982	-282.925	0.977
12.692	-524.521	0.268	0.008	0.268	-261.980	0.894	-264.324	0.890
12.705	-530.996	0.253	0.008	0.253	-265.215	0.842	-267.447	0.838
12.718	-549.613	0.263	0.008	0.263	-274.513	0.877	-276.921	0.873
12.731	-563.374	0.284	0.008	0.284	-281.386	0.947	-284.051	0.943
12.744	-541.519	0.289	0.008	0.289	-270.471	0.965	-273.080	0.960
12.757	-518.855	0.263	0.008	0.263	-259.150	0.877	-261.423	0.873
12.770	-535.043	0.258	0.008	0.258	-267.236	0.859	-269.533	0.856
12.783	-558.517	0.268	0.008	0.268	-278.961	0.894	-281.456	0.890
12.796	-548.804	0.284	0.008	0.284	-274.109	0.947	-276.705	0.943
12.809	-520.473	0.279	0.008	0.279	-259.959	0.930	-262.375	0.925
12.822	-521.283	0.258	0.008	0.258	-260.363	0.859	-262.601	0.856
12.835	-552.042	0.258	0.008	0.258	-275.726	0.859	-278.096	0.856
12.848	-562.565	0.284	0.008	0.284	-280.982	0.947	-283.643	0.943
12.861	-533.425	0.289	0.008	0.289	-266.428	0.965	-268.998	0.960
12.874	-521.283	0.268	0.008	0.268	-260.363	0.894	-262.692	0.890
12.887	-536.662	0.258	0.008	0.258	-268.045	0.859	-270.348	0.856
12.900	-562.565	0.274	0.008	0.274	-280.982	0.912	-283.545	0.908
12.913	-552.851	0.289	0.008	0.289	-276.131	0.965	-278.794	0.960
12.926	-521.283	0.268	0.008	0.268	-260.363	0.894	-262.692	0.890
12.939	-525.330	0.258	0.008	0.258	-262.385	0.859	-264.640	0.856
12.952	-550.423	0.263	0.008	0.263	-274.918	0.877	-277.329	0.873
12.965	-564.993	0.289	0.008	0.289	-282.195	0.965	-284.917	0.960
12.978	-537.472	0.295	0.008	0.295	-268.449	0.982	-271.086	0.977
12.991	-518.855	0.274	0.008	0.274	-259.150	0.912	-261.514	0.908
13.004	-538.281	0.263	0.008	0.263	-268.853	0.877	-271.211	0.873
13.017	-564.993	0.279	0.008	0.279	-282.195	0.930	-284.818	0.925
13.030	-554.470	0.289	0.008	0.289	-276.939	0.965	-279.611	0.960
13.042	-528.568	0.279	0.008	0.279	-264.002	0.930	-266.456	0.925
13.055	-531.806	0.263	0.008	0.263	-265.619	0.877	-267.948	0.873
13.068	-557.708	0.274	0.008	0.274	-278.556	0.912	-281.097	0.908
13.081	-564.993	0.289	0.008	0.289	-282.195	0.965	-284.917	0.960
13.094	-543.947	0.300	0.008	0.300	-271.683	1.000	-274.399	0.995
13.107	-526.140	0.274	0.008	0.274	-262.789	0.912	-265.186	0.908
13.120	-546.376	0.258	0.008	0.258	-272.896	0.859	-275.241	0.856
13.133	-574.706	0.284	0.008	0.284	-287.046	0.947	-289.765	0.943
13.146	-560.946	0.300	0.008	0.300	-280.174	1.000	-282.974	0.995
13.159	-540.710	0.279	0.008	0.279	-270.066	0.930	-272.577	0.925
13.172	-535.043	0.268	0.008	0.268	-267.236	0.894	-269.627	0.890
13.185	-563.374	0.268	0.008	0.268	-281.386	0.894	-283.903	0.890
13.198	-574.706	0.289	0.008	0.289	-287.046	0.965	-289.815	0.960
13.211	-550.423	0.295	0.008	0.295	-274.918	0.982	-277.618	0.977
13.224	-538.281	0.268	0.008	0.268	-268.853	0.894	-271.258	0.890
13.237	-552.851	0.279	0.008	0.279	-276.131	0.930	-278.697	0.925
13.250	-577.135	0.289	0.008	0.289	-288.259	0.965	-291.040	0.960
13.263	-573.897	0.295	0.008	0.295	-286.642	0.982	-289.457	0.977
13.276	-539.091	0.289	0.008	0.289	-269.258	0.965	-271.855	0.960
13.289	-536.662	0.263	0.008	0.263	-268.045	0.877	-270.395	0.873
13.302	-567.421	0.274	0.008	0.274	-283.408	0.912	-285.993	0.908
13.315	-578.753	0.289	0.008	0.289	-289.068	0.965	-291.856	0.960
13.328	-555.280	0.300	0.008	0.300	-277.343	1.000	-280.116	0.995
13.341	-536.662	0.274	0.008	0.274	-268.045	0.912	-270.489	0.908
13.354	-555.280	0.274	0.008	0.274	-277.343	0.912	-279.873	0.908
13.367	-582.801	0.279	0.008	0.279	-291.089	0.930	-293.795	0.925
13.380	-573.897	0.310	0.008	0.310	-286.642	1.035	-289.608	1.029
13.393	-543.138	0.284	0.008	0.284	-271.279	0.947	-273.848	0.943
13.406	-539.091	0.263	0.008	0.263	-269.258	0.877	-271.619	0.873
13.418	-569.040	0.279	0.008	0.279	-284.216	0.930	-286.858	0.925
13.431	-577.944	0.295	0.008	0.295	-288.664	0.982	-291.499	0.977
13.444	-556.898	0.295	0.008	0.295	-278.152	0.982	-280.884	0.977
13.457	-531.806	0.274	0.008	0.274	-265.619	0.912	-268.041	0.908
13.470	-548.804	0.263	0.008	0.263	-274.109	0.877	-276.513	0.873
13.483	-574.706	0.279	0.008	0.279	-287.046	0.930	-289.715	0.925
13.496	-569.850	0.295	0.008	0.295	-284.621	0.982	-287.416	0.977
13.509	-530.187	0.300	0.008	0.300	-264.810	1.000	-267.458	0.995
13.522	-533.425	0.274	0.008	0.274	-266.428	0.912	-268.857	0.908
13.535	-558.517	0.274	0.008	0.274	-278.961	0.912	-281.505	0.908
13.548	-575.516	0.289	0.008	0.289	-287.451	0.965	-290.224	0.960
13.561	-543.138	0.300	0.008	0.300	-271.279	1.000	-273.991	0.995
13.574	-531.806	0.268	0.008	0.268	-265.619	0.894	-267.995	0.890
13.587	-537.472	0.268	0.008	0.268	-268.449	0.894	-270.850	0.890
13.600	-561.755	0.295	0.008	0.295	-280.578	0.982	-283.333	0.977
13.613	-553.661	0.305	0.008	0.305	-276.535	1.017	-279.348	1.012
13.626	-519.664	0.289	0.008	0.289	-259.555	0.965	-262.058	0.960
13.639	-518.045	0.263	0.008	0.263	-258.746	0.877	-261.015	0.873
13.652	-543.138	0.274	0.008	0.274	-271.279	0.912	-273.753	0.908
13.665	-553.661	0.289	0.008	0.289	-276.535	0.965	-279.202	0.960
13.678	-524.521	0.300	0.008	0.300	-261.980	1.000	-264.599	0.995
13.691	-505.903	0.274	0.008	0.274	-252.682	0.912	-254.986	0.908
13.704	-518.855	0.258	0.008	0.258	-259.150	0.859	-261.377	0.856
13.717	-544.757	0.279	0.008	0.279	-272.088	0.930	-274.617	0.925
13.730	-530.996	0.295	0.008	0.295	-265.215	0.982	-267.820	0.977
13.743	-505.094	0.300	0.008	0.300	-252.277	1.000	-254.799	0.995
13.756	-493.762	0.268	0.008	0.268	-246.617	0.894	-248.823	0.890
13.769	-520.473	0.274	0.008	0.274	-259.959	0.912	-262.330	0.908
13.781	-529.377	0.289	0.008	0.289	-264.406	0.965	-266.957	0.960
